lead_h,pearson,spearman,bias_ratio
6,0.4949960565283333,0.7766525344337094,1.0383331120654202
12,0.5560592954331381,0.4604640405083819,1.1866665080920107
18,0.4862921434143825,0.5560317224398336,1.3299672683189094
24,0.6143777392639261,0.8260321196160696,0.8603671327980399
30,0.42983774462252455,0.7482778062237585,1.0481401189638393
36,0.45578115667275393,0.43120732928695477,1.1597016825145205
42,0.4983917634097387,0.5467763530138227,1.343199817188162
48,0.5646478070307652,0.8131781150749343,0.8886892297118603
54,0.34935711014164517,0.7406648436081059,1.0721500543483122
60,0.40271368906644484,0.4181891835891387,1.170320982679
66,0.45110142279260373,0.535324178056346,1.4394368674408307
72,0.5763998766974845,0.801141311773809,0.940662337989912
78,0.41161867262792173,0.7300175129066816,1.1332238014245437
84,0.4160775133377104,0.4117629767017658,1.1882177910533582
90,0.4129364694277135,0.5252132492637596,1.4405574536461934
96,0.5538201013412162,0.7890978671801903,0.9345001175375718
102,0.36123407205949726,0.71346348931261,1.0168216794949994
108,0.346415800240769,0.4093563914452614,1.0618102107264626
114,0.351471765669263,0.5033800955103325,1.3983647649675084
120,0.5210230855029192,0.7827986074079465,0.9425803842680206
126,0.2430946259544652,0.7047226226854278,1.0309774120421757
132,0.27095933847489184,0.39303648771127137,1.045979882718119
138,0.3156462254130738,0.49528364523959467,1.3968555945800143
144,0.488266556783432,0.7616368217416667,0.9625851199470896
150,0.2185511893793002,0.671443896308041,1.0262615212460227
156,0.26496424640037064,0.364297577250933,1.0451095493028022
162,0.27551637298422366,0.4681268759200616,1.4309869563333952
168,0.46242829491144777,0.729607513864405,1.0148371698518033
